Название;Цена;Ссылка
Иван-чай Самокат, с мятой, в пирамидках;249;https://samokat.ru/product/022c9d93-e79f-11ea-8599-1c34dae33151
Травяной чай Самокат, зверобой, чабрец и душица, в пирамидках;214;https://samokat.ru/product/19e00b27-f906-11eb-a0ee-ec0d9a21b021
Травяной чай Самокат, саган-дайля и чага, лист смородины и лимонная трава, в пирамидках;249;https://samokat.ru/product/19e00b29-f906-11eb-a0ee-ec0d9a21b021
Иван-чай Самокат, со смородиной, в пирамидках;249;https://samokat.ru/product/0f6857a4-4501-11eb-85a3-1c34dae33151
Белый чай Curtis, White Bountea, питахайя и яблоко, с лепестками роз, в пакетиках;140;https://samokat.ru/product/3a59c61d-9c7d-11ec-b967-08c0eb32008b
Ассорти чая Niktea, Брайт, чёрный, травяной, фруктовый и зелёный, в пакетиках;219;https://samokat.ru/product/09e30566-782a-11eb-85a3-1c34dae33151
Травяной чай Niktea, клубничная панна-котта, в пирамидках;299;https://samokat.ru/product/ca2da5e2-d579-11ee-8861-08c0eb32014b
Гречишный чайный напиток Самокат, без кофеина;155;https://samokat.ru/product/dc8112b3-7256-11ee-b972-08c0eb32008b
Набор для чайных коктейлей Tess, Коктейль микс, в пакетиках;249;https://samokat.ru/product/4de0b99c-68ea-11ee-b10a-08c0eb31fffb
Подарочный набор травяного чая Floris, 8 видов;449;https://samokat.ru/product/beb1b17e-69c6-11ee-b972-08c0eb32008b
Набор чая Greenfield, 6 вкусов, 30 пакетиков;469;https://samokat.ru/product/5c383374-68ea-11ee-b10a-08c0eb31fffb
Набор чая Tess Tea Bag Collection, 12 вкусов, в пакетиках;649;https://samokat.ru/product/7ab552bb-ef26-11ed-885e-08c0eb32014b
Ассорти чая Herbarus Collection, Secret Holiday, в пакетиках;289;https://samokat.ru/product/143f320d-4279-11ef-b973-08c0eb32008b
Ассорти чая Curtis, Dessert Tea Collection, 6 вкусов, в пакетиках;489;https://samokat.ru/product/ac5c0c87-5a4e-11eb-85a3-1c34dae33151
Безалкогольный гранатовый глинтвейн Самокат, заморозка;119;https://samokat.ru/product/76ee43a5-8201-4a69-be9a-039935a42fd6
Северный чай Самокат, ассорти, апельсин, клюква и облепиха, заморозка;299;https://samokat.ru/product/c1c1b81c-5731-11ec-a0ee-ec0d9a21b021
Подсластитель Самокат, в таблетках;211;https://samokat.ru/product/f0caa98a-3295-11ee-b10a-08c0eb31fffb
Сахар Русский, песок, ГОСТ;89;https://samokat.ru/product/579b1aeb-de2f-11ea-8599-1c34dae33151
Сахар Русский, кусковой;95;https://samokat.ru/product/2de6d964-2863-11e9-80c5-0cc47a817925
